epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,881.171,1.66021,0.79049,1.69309,0.92707,0.93914,0.95873,0.54149,1.65507,0.69076,1.87318,0.000456863,0.000456863,0.000456863
43,902.632,1.64858,0.78067,1.67995,0.92783,0.94022,0.95849,0.5398,1.65832,0.68897,1.87288,0.00044925,0.00044925,0.00044925
44,923.943,1.64907,0.77784,1.67836,0.93259,0.93314,0.95794,0.53772,1.67568,0.69058,1.88479,0.000441637,0.000441637,0.000441637
45,945.313,1.65746,0.78023,1.68196,0.92911,0.93554,0.95758,0.53596,1.66508,0.68935,1.87499,0.000434024,0.000434024,0.000434024
46,966.613,1.64555,0.7741,1.68215,0.94276,0.93308,0.96211,0.54219,1.64504,0.68348,1.86531,0.000426411,0.000426411,0.000426411
47,987.889,1.6498,0.77327,1.67045,0.94036,0.9365,0.96212,0.53947,1.65756,0.68077,1.87415,0.000418797,0.000418797,0.000418797
48,1009.26,1.62582,0.76568,1.6606,0.93597,0.94266,0.96104,0.54348,1.65841,0.665,1.87144,0.000411184,0.000411184,0.000411184
49,1030.64,1.63401,0.76379,1.67696,0.93836,0.93672,0.96196,0.55007,1.63539,0.66501,1.85184,0.000403571,0.000403571,0.000403571
50,1052.07,1.63466,0.76198,1.67955,0.93335,0.94196,0.96189,0.53786,1.6657,0.67174,1.87151,0.000395958,0.000395958,0.000395958
51,1073.32,1.6329,0.75876,1.67534,0.92822,0.94382,0.95986,0.54319,1.64403,0.68082,1.86415,0.000388345,0.000388345,0.000388345
52,1094.53,1.63458,0.76141,1.67689,0.93763,0.94391,0.96286,0.54913,1.64897,0.66335,1.86359,0.000380732,0.000380732,0.000380732
53,1115.94,1.6283,0.75061,1.65443,0.93865,0.94116,0.96208,0.54993,1.64238,0.65823,1.85283,0.000373119,0.000373119,0.000373119
54,1137.43,1.62443,0.74872,1.66592,0.93364,0.94486,0.96384,0.54917,1.63123,0.66267,1.84136,0.000365506,0.000365506,0.000365506
55,1158.66,1.61289,0.74408,1.64312,0.9366,0.93578,0.9605,0.54712,1.63618,0.66475,1.8515,0.000357893,0.000357893,0.000357893
56,1180.55,1.61492,0.7464,1.65513,0.93615,0.93809,0.96136,0.54817,1.6407,0.66466,1.84546,0.00035028,0.00035028,0.00035028
57,1202.28,1.62047,0.74617,1.66047,0.93853,0.94106,0.96331,0.55281,1.63381,0.6532,1.84504,0.000342666,0.000342666,0.000342666
58,1223.76,1.6226,0.7471,1.65888,0.93618,0.94191,0.96073,0.54817,1.63087,0.6651,1.84681,0.000335053,0.000335053,0.000335053
59,1245.1,1.61636,0.73908,1.64946,0.93303,0.95156,0.96392,0.55458,1.62816,0.65045,1.84486,0.00032744,0.00032744,0.00032744
60,1266.36,1.60607,0.73496,1.63833,0.93451,0.94647,0.96555,0.55323,1.62466,0.65066,1.83896,0.000319827,0.000319827,0.000319827
61,1287.59,1.59172,0.7284,1.63208,0.93925,0.94836,0.9644,0.55618,1.61935,0.64434,1.84172,0.000312214,0.000312214,0.000312214
62,1309.11,1.58619,0.72034,1.63434,0.93879,0.94537,0.96369,0.55536,1.62892,0.64487,1.84432,0.000304601,0.000304601,0.000304601
63,1330.38,1.59971,0.73177,1.63633,0.94092,0.94161,0.96228,0.55512,1.63082,0.64707,1.843,0.000296988,0.000296988,0.000296988
64,1351.69,1.58925,0.72231,1.63191,0.94157,0.94679,0.96589,0.55451,1.62668,0.64087,1.83978,0.000289375,0.000289375,0.000289375
65,1373.09,1.59057,0.72547,1.6513,0.94701,0.94757,0.96685,0.55764,1.6363,0.6435,1.83927,0.000281762,0.000281762,0.000281762
66,1394.51,1.59106,0.71831,1.63162,0.94233,0.94642,0.96692,0.55437,1.62151,0.64078,1.83273,0.000274148,0.000274148,0.000274148
67,1415.9,1.5713,0.71495,1.62139,0.93818,0.94869,0.96507,0.55959,1.60788,0.63415,1.831,0.000266535,0.000266535,0.000266535
68,1437.4,1.57357,0.70897,1.6168,0.94206,0.94594,0.9649,0.55742,1.61839,0.63644,1.83409,0.000258922,0.000258922,0.000258922
69,1458.76,1.58273,0.71895,1.63077,0.94184,0.947,0.96613,0.56025,1.60696,0.63365,1.824,0.000251309,0.000251309,0.000251309
70,1480.15,1.56769,0.7093,1.62678,0.94375,0.94587,0.96588,0.56667,1.6129,0.62769,1.8287,0.000243696,0.000243696,0.000243696
71,1501.46,1.5821,0.71198,1.63415,0.93495,0.94782,0.96651,0.56304,1.61045,0.62929,1.82404,0.000236083,0.000236083,0.000236083
72,1522.75,1.56199,0.70425,1.60098,0.94484,0.94136,0.9647,0.56399,1.60051,0.6267,1.81933,0.00022847,0.00022847,0.00022847
73,1544.08,1.55799,0.69653,1.60179,0.94748,0.94337,0.96754,0.56412,1.6085,0.62634,1.8265,0.000220857,0.000220857,0.000220857
74,1565.48,1.56661,0.70556,1.62488,0.9385,0.95248,0.96826,0.56412,1.60417,0.62406,1.82061,0.000213244,0.000213244,0.000213244
75,1586.8,1.56411,0.70247,1.6206,0.94567,0.94445,0.96862,0.55983,1.61758,0.63476,1.82512,0.000205631,0.000205631,0.000205631
76,1608.1,1.56236,0.70253,1.61449,0.9434,0.94812,0.967,0.56496,1.60264,0.62538,1.81896,0.000198018,0.000198018,0.000198018
77,1629.39,1.55937,0.70034,1.61389,0.94211,0.94768,0.96695,0.5673,1.6085,0.62933,1.81529,0.000190404,0.000190404,0.000190404
78,1650.8,1.55527,0.69426,1.6028,0.94729,0.94726,0.96947,0.56579,1.60362,0.62352,1.81979,0.000182791,0.000182791,0.000182791
79,1672.02,1.55812,0.70373,1.61726,0.94836,0.94458,0.96853,0.56549,1.61147,0.62347,1.82233,0.000175178,0.000175178,0.000175178
80,1693.47,1.54827,0.69159,1.60177,0.94602,0.94797,0.9696,0.57047,1.60022,0.61835,1.81267,0.000167565,0.000167565,0.000167565
81,1714.89,1.54556,0.69227,1.60846,0.94326,0.94804,0.96908,0.56773,1.59484,0.61845,1.81264,0.000159952,0.000159952,0.000159952
82,1736.33,1.55561,0.6931,1.60233,0.94167,0.95361,0.97016,0.56553,1.60134,0.62217,1.81397,0.000152339,0.000152339,0.000152339
83,1757.59,1.53658,0.68972,1.60039,0.94684,0.95209,0.97007,0.56963,1.60302,0.61444,1.81633,0.000144726,0.000144726,0.000144726
