epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.903,3.81746,3.89265,3.54336,0.56428,0.14741,0.1392,0.05398,3.30068,3.23112,3.17908,0.000254613,0.000254613,0.000254613
2,62.3084,1.98888,1.70295,2.12198,0.79849,0.86642,0.8643,0.54663,1.43601,1.02968,1.75774,0.000505888,0.000505888,0.000505888
3,90.2525,1.41762,1.07998,1.60566,0.84313,0.92661,0.91749,0.68532,1.02832,0.81314,1.37955,0.000752088,0.000752088,0.000752088
4,117.823,1.17702,0.89998,1.38414,0.87225,0.92217,0.93432,0.74537,0.86234,0.69143,1.23141,0.000746161,0.000746161,0.000746161
5,145.518,1.05374,0.8028,1.27545,0.89422,0.91294,0.94115,0.76118,0.80188,0.6689,1.16207,0.000738548,0.000738548,0.000738548
6,173.219,0.97962,0.74848,1.20748,0.89652,0.92807,0.94959,0.77082,0.78896,0.62159,1.11878,0.000730935,0.000730935,0.000730935
7,200.879,0.92538,0.70335,1.16867,0.89806,0.93415,0.955,0.78812,0.75693,0.59781,1.0975,0.000723321,0.000723321,0.000723321
8,228.635,0.88596,0.67139,1.13131,0.88613,0.93707,0.95598,0.7948,0.73809,0.56587,1.05983,0.000715708,0.000715708,0.000715708
9,256.266,0.87491,0.64856,1.11117,0.90503,0.9355,0.95799,0.80991,0.6897,0.53861,1.04347,0.000708095,0.000708095,0.000708095
10,283.955,0.83555,0.62911,1.09373,0.90354,0.94345,0.96321,0.81709,0.67987,0.52729,1.02891,0.000700482,0.000700482,0.000700482
11,311.823,0.80931,0.6104,1.07805,0.91048,0.94721,0.96057,0.81782,0.66479,0.50398,1.01989,0.000692869,0.000692869,0.000692869
12,339.538,0.79203,0.58954,1.05628,0.91254,0.94479,0.96149,0.81652,0.66448,0.51688,1.00074,0.000685256,0.000685256,0.000685256
13,367.71,0.77733,0.57466,1.04928,0.92405,0.9364,0.96571,0.81984,0.67748,0.48597,1.01412,0.000677643,0.000677643,0.000677643
14,396.556,0.76871,0.56751,1.04204,0.92027,0.93441,0.96543,0.83003,0.6332,0.47071,0.99044,0.00067003,0.00067003,0.00067003
15,425.539,0.75457,0.55547,1.03198,0.89981,0.94829,0.96571,0.83262,0.63307,0.47467,0.97931,0.000662417,0.000662417,0.000662417
16,454.543,0.73898,0.54196,1.02079,0.92739,0.93132,0.96636,0.84057,0.61085,0.4553,0.97706,0.000654804,0.000654804,0.000654804
17,483.498,0.7334,0.54,1.02473,0.908,0.94238,0.96864,0.8492,0.58571,0.45128,0.96146,0.00064719,0.00064719,0.00064719
18,512.508,0.72041,0.52364,1.00994,0.9251,0.92882,0.96921,0.84771,0.58674,0.44592,0.96393,0.000639577,0.000639577,0.000639577
19,541.372,0.71065,0.51469,1.00493,0.91631,0.9453,0.97032,0.84803,0.58599,0.43002,0.95176,0.000631964,0.000631964,0.000631964
20,570.255,0.69843,0.50907,1.0004,0.91586,0.94888,0.97084,0.85655,0.56832,0.43161,0.94707,0.000624351,0.000624351,0.000624351
21,599.19,0.70041,0.50482,0.99825,0.91977,0.94054,0.97123,0.85538,0.57007,0.42458,0.94833,0.000616738,0.000616738,0.000616738
22,627.955,0.68802,0.49649,0.98884,0.91,0.95613,0.97029,0.84724,0.58439,0.42278,0.95541,0.000609125,0.000609125,0.000609125
23,656.828,0.68315,0.4944,0.98459,0.92462,0.9455,0.97025,0.8587,0.55432,0.41325,0.93984,0.000601512,0.000601512,0.000601512
24,686.061,0.67887,0.48645,0.98037,0.93439,0.93807,0.97166,0.85421,0.56647,0.41657,0.94389,0.000593899,0.000593899,0.000593899
25,715.872,0.67418,0.48296,0.98131,0.92106,0.94782,0.97174,0.85635,0.56304,0.41903,0.9367,0.000586286,0.000586286,0.000586286
26,744.704,0.66469,0.47995,0.97752,0.92201,0.94814,0.97113,0.85933,0.55119,0.40373,0.93781,0.000578672,0.000578672,0.000578672
27,773.594,0.65863,0.47131,0.97292,0.92139,0.94646,0.97242,0.85377,0.57119,0.41093,0.94334,0.000571059,0.000571059,0.000571059
28,802.296,0.65713,0.46869,0.97102,0.93254,0.94286,0.97263,0.85691,0.56695,0.40026,0.94169,0.000563446,0.000563446,0.000563446
29,831.192,0.64579,0.46184,0.96551,0.9178,0.95554,0.97118,0.8659,0.54206,0.39905,0.92956,0.000555833,0.000555833,0.000555833
30,860.019,0.64575,0.46238,0.96687,0.9212,0.95443,0.97321,0.86541,0.54637,0.39769,0.93208,0.00054822,0.00054822,0.00054822
31,889.045,0.63742,0.45725,0.96134,0.91707,0.94816,0.9719,0.86518,0.53773,0.39956,0.92465,0.000540607,0.000540607,0.000540607
32,917.883,0.63423,0.45195,0.95762,0.91877,0.95368,0.97219,0.86359,0.54522,0.39169,0.92363,0.000532994,0.000532994,0.000532994
33,946.73,0.63076,0.44879,0.95494,0.93411,0.94514,0.97315,0.86845,0.5343,0.38123,0.92429,0.000525381,0.000525381,0.000525381
34,975.541,0.62529,0.44424,0.95216,0.92172,0.94869,0.97267,0.86958,0.53538,0.38687,0.92295,0.000517768,0.000517768,0.000517768
35,1004.28,0.62919,0.44768,0.96034,0.91819,0.96245,0.97262,0.87223,0.51632,0.37802,0.9174,0.000510155,0.000510155,0.000510155
36,1033.08,0.61346,0.43946,0.94961,0.92988,0.94446,0.97378,0.87082,0.52645,0.38176,0.91553,0.000502541,0.000502541,0.000502541
37,1061.92,0.61584,0.43784,0.95169,0.91923,0.96104,0.97478,0.87259,0.51918,0.37625,0.91278,0.000494928,0.000494928,0.000494928
38,1090.81,0.61108,0.43347,0.94339,0.9218,0.95359,0.97491,0.87224,0.52733,0.3789,0.91782,0.000487315,0.000487315,0.000487315
39,1119.68,0.60724,0.43175,0.94401,0.91806,0.96256,0.97324,0.87384,0.51709,0.37056,0.91225,0.000479702,0.000479702,0.000479702
40,1148.41,0.60884,0.42902,0.9481,0.93207,0.9483,0.97504,0.87755,0.50418,0.36856,0.90666,0.000472089,0.000472089,0.000472089
41,1177.4,0.60228,0.42613,0.94621,0.93327,0.94986,0.97432,0.87591,0.50847,0.36241,0.90761,0.000464476,0.000464476,0.000464476
42,1206.29,0.60005,0.42407,0.9383,0.9363,0.94262,0.97391,0.87288,0.51753,0.36832,0.91071,0.000456863,0.000456863,0.000456863
43,1235.04,0.59936,0.42285,0.93915,0.92383,0.9568,0.97457,0.87654,0.50351,0.36865,0.90418,0.00044925,0.00044925,0.00044925
44,1263.83,0.59723,0.41851,0.93912,0.91779,0.96564,0.97524,0.87704,0.51065,0.35995,0.90959,0.000441637,0.000441637,0.000441637
45,1292.68,0.59262,0.41827,0.93765,0.9219,0.96067,0.97575,0.87987,0.50589,0.36162,0.90589,0.000434024,0.000434024,0.000434024
