epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,80.3465,0.98844,0.53349,1.10259,0.94676,0.96838,0.9873,0.72554,1.09155,0.51842,1.10565,0.000742625,0.000742625,0.000742625
43,82.1831,0.99513,0.52558,1.11314,0.95651,0.95915,0.986,0.72971,1.04988,0.501,1.07575,0.00073025,0.00073025,0.00073025
44,84.0609,0.96958,0.51967,1.0936,0.94404,0.99468,0.99113,0.75263,0.98136,0.4942,1.05268,0.000717875,0.000717875,0.000717875
45,85.932,0.99149,0.51267,1.10269,0.93782,0.99539,0.98886,0.72336,1.10111,0.51501,1.11393,0.0007055,0.0007055,0.0007055
46,87.8117,0.96601,0.5138,1.11068,0.94241,1,0.98864,0.74686,0.99859,0.49131,1.07099,0.000693125,0.000693125,0.000693125
47,89.6048,0.9363,0.49908,1.08963,0.94281,1,0.99267,0.72776,1.09758,0.49925,1.08108,0.00068075,0.00068075,0.00068075
48,91.4675,0.98929,0.4978,1.10016,0.97471,0.96242,0.99267,0.76188,1.00568,0.47248,1.06004,0.000668375,0.000668375,0.000668375
49,93.3169,0.96233,0.49216,1.09918,0.9243,1,0.99172,0.76595,1.00732,0.47292,1.05751,0.000656,0.000656,0.000656
50,95.1798,0.93533,0.48286,1.09387,0.93846,1,0.995,0.74064,1.02761,0.46604,1.07772,0.000643625,0.000643625,0.000643625
51,97.0066,0.93538,0.47902,1.09862,0.93679,0.99627,0.98824,0.73412,1.04157,0.50478,1.08912,0.00063125,0.00063125,0.00063125
52,98.8132,0.94507,0.48629,1.09912,0.91793,0.99609,0.99089,0.74722,1.02632,0.51177,1.06528,0.000618875,0.000618875,0.000618875
53,100.69,0.9544,0.47938,1.08817,0.97672,0.97222,0.99,0.73549,1.05979,0.48744,1.07651,0.0006065,0.0006065,0.0006065
54,102.539,0.93452,0.45858,1.0834,0.97977,0.94749,0.99225,0.73038,1.11112,0.53198,1.11522,0.000594125,0.000594125,0.000594125
55,104.334,0.94634,0.47562,1.09988,0.97046,0.92042,0.995,0.74247,1.0331,0.51888,1.08749,0.00058175,0.00058175,0.00058175
56,106.19,0.9322,0.47195,1.07426,0.88508,1,0.98643,0.72279,1.06312,0.52442,1.10102,0.000569375,0.000569375,0.000569375
57,108.032,0.92088,0.45779,1.0652,0.96535,0.91253,0.9895,0.73112,1.02652,0.5081,1.09462,0.000557,0.000557,0.000557
58,109.865,0.93073,0.46526,1.09791,0.92515,1,0.995,0.73656,1.01195,0.476,1.06824,0.000544625,0.000544625,0.000544625
59,111.712,0.91568,0.45166,1.07596,0.96454,0.99796,0.995,0.74612,1.06226,0.45535,1.08407,0.00053225,0.00053225,0.00053225
60,113.586,0.93042,0.45511,1.07234,0.9531,0.99473,0.995,0.73695,1.00562,0.45541,1.06353,0.000519875,0.000519875,0.000519875
61,115.389,0.91419,0.43924,1.09685,0.9557,1,0.99375,0.75158,1.00725,0.45074,1.05258,0.0005075,0.0005075,0.0005075
62,117.25,0.89934,0.43442,1.077,0.95976,0.96307,0.98957,0.75844,0.9802,0.43727,1.04806,0.000495125,0.000495125,0.000495125
63,119.073,0.9,0.43757,1.05362,0.96884,0.99032,0.99375,0.75206,0.98097,0.44019,1.03579,0.00048275,0.00048275,0.00048275
64,120.923,0.91663,0.4322,1.07436,0.96145,0.99247,0.99375,0.76801,0.94721,0.43178,1.02569,0.000470375,0.000470375,0.000470375
65,122.776,0.90264,0.43145,1.07065,0.96847,0.99418,0.99089,0.77353,0.95832,0.43908,1.0311,0.000458,0.000458,0.000458
66,124.636,0.89238,0.42812,1.06927,0.95352,0.99277,0.99113,0.75768,0.98728,0.44182,1.06768,0.000445625,0.000445625,0.000445625
67,126.523,0.89671,0.43905,1.06892,0.94975,1,0.99375,0.73533,1.05535,0.4478,1.0965,0.00043325,0.00043325,0.00043325
68,128.387,0.88383,0.43026,1.05362,0.95373,0.99166,0.99232,0.73112,1.04325,0.45342,1.09124,0.000420875,0.000420875,0.000420875
69,130.307,0.88371,0.42774,1.06944,0.94688,0.99893,0.99113,0.74345,1.02959,0.44212,1.08339,0.0004085,0.0004085,0.0004085
70,132.169,0.88344,0.43141,1.06185,0.96909,0.98077,0.99113,0.7465,1.02103,0.44348,1.07105,0.000396125,0.000396125,0.000396125
71,133.98,0.88846,0.41597,1.05697,0.97128,0.9808,0.99089,0.74677,1.03006,0.44728,1.08002,0.00038375,0.00038375,0.00038375
72,135.853,0.8796,0.41565,1.05777,0.94897,0.97431,0.98679,0.73387,1.01741,0.4495,1.06429,0.000371375,0.000371375,0.000371375
73,137.658,0.87129,0.41521,1.06112,0.96875,0.96611,0.991,0.7423,1.03321,0.45677,1.06906,0.000359,0.000359,0.000359
74,139.507,0.88177,0.41106,1.06078,0.964,0.96357,0.98393,0.75735,0.95056,0.44177,1.03158,0.000346625,0.000346625,0.000346625
75,141.36,0.86215,0.40308,1.0442,0.96664,0.96494,0.97225,0.76494,0.94012,0.47115,1.0298,0.00033425,0.00033425,0.00033425
76,143.285,0.87011,0.40253,1.0468,0.95946,0.96699,0.96842,0.73949,0.96095,0.46316,1.03291,0.000321875,0.000321875,0.000321875
77,145.184,0.85943,0.41121,1.03858,0.99255,0.94099,0.9796,0.74266,0.98606,0.45644,1.04892,0.0003095,0.0003095,0.0003095
78,147.044,0.8548,0.39768,1.04261,0.96454,0.96181,0.99023,0.7633,0.96739,0.43587,1.04183,0.000297125,0.000297125,0.000297125
79,148.906,0.8508,0.38462,1.06484,0.96986,0.9924,0.99375,0.75326,1.04466,0.42386,1.06729,0.00028475,0.00028475,0.00028475
80,151.145,0.84044,0.39526,1.02884,0.9919,0.9935,0.995,0.76755,0.96442,0.41476,1.03101,0.000272375,0.000272375,0.000272375
81,153.61,0.84544,0.38314,1.03928,0.95174,0.99275,0.99232,0.7532,0.98728,0.43137,1.04389,0.00026,0.00026,0.00026
82,155.996,0.85797,0.38861,1.03243,0.98689,0.98954,0.995,0.75297,1.01243,0.42078,1.04923,0.000247625,0.000247625,0.000247625
83,158.097,0.85313,0.38484,1.0377,0.96433,0.97222,0.98957,0.75224,1.02528,0.43846,1.05605,0.00023525,0.00023525,0.00023525
84,160.252,0.84147,0.38133,1.04808,0.9853,0.94849,0.991,0.74501,1.02884,0.42899,1.07265,0.000222875,0.000222875,0.000222875
