epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3637,1.94748,2.9844,1.55863,0.85905,0.57258,0.76161,0.35224,1.861,2.30069,1.36847,0.000274107,0.000274107,0.000274107
2,31.7285,1.85892,1.33389,1.44455,0.86158,0.84349,0.86461,0.42612,1.78968,1.12081,1.36935,0.000549042,0.000549042,0.000549042
3,46.4656,1.80126,1.17031,1.40985,0.80953,0.88241,0.88015,0.42423,1.81458,1.025,1.4048,0.000821229,0.000821229,0.000821229
4,61.0542,1.78566,1.08721,1.40308,0.85824,0.86053,0.89445,0.44584,1.76484,1.0078,1.39274,0.00082063,0.00082063,0.00082063
5,75.7578,1.76327,1.01982,1.3899,0.84801,0.84643,0.87853,0.42494,1.82714,0.95161,1.39171,0.000816507,0.000816507,0.000816507
6,90.4754,1.74603,0.94787,1.3763,0.87272,0.87283,0.91326,0.46449,1.74327,0.86337,1.36728,0.000812383,0.000812383,0.000812383
7,105.131,1.72556,0.90214,1.36485,0.86854,0.90032,0.91458,0.45039,1.81239,0.85384,1.40373,0.00080826,0.00080826,0.00080826
8,119.846,1.70923,0.86569,1.35792,0.8554,0.87918,0.92058,0.46621,1.76333,0.84424,1.38244,0.000804137,0.000804137,0.000804137
9,134.555,1.69752,0.82788,1.35316,0.87577,0.89337,0.92377,0.47207,1.75665,0.80363,1.37881,0.000800013,0.000800013,0.000800013
10,149.337,1.69308,0.81461,1.35413,0.8994,0.90342,0.92806,0.49744,1.69814,0.77915,1.35818,0.00079589,0.00079589,0.00079589
11,164.227,1.67563,0.78783,1.34688,0.9142,0.89972,0.93929,0.48857,1.74605,0.7691,1.35359,0.000791767,0.000791767,0.000791767
12,180.678,1.67102,0.77098,1.34813,0.90012,0.89042,0.93675,0.49333,1.71788,0.74776,1.36295,0.000787643,0.000787643,0.000787643
13,197.887,1.66428,0.76329,1.34521,0.89409,0.90777,0.92919,0.49242,1.69822,0.73663,1.35121,0.00078352,0.00078352,0.00078352
14,214.821,1.65099,0.74044,1.34012,0.90951,0.92763,0.94965,0.51208,1.67742,0.68481,1.33044,0.000779396,0.000779396,0.000779396
15,231.807,1.64415,0.7297,1.33453,0.81986,0.78449,0.88041,0.43477,1.86587,0.89835,1.45406,0.000775273,0.000775273,0.000775273
16,249.479,1.63928,0.72302,1.3331,0.90751,0.93351,0.94172,0.51144,1.66328,0.69508,1.3288,0.00077115,0.00077115,0.00077115
17,267.077,1.63515,0.7102,1.33288,0.92948,0.92625,0.95604,0.52531,1.65953,0.68255,1.326,0.000767026,0.000767026,0.000767026
18,284.781,1.6276,0.70437,1.33193,0.9274,0.91745,0.95639,0.52118,1.65552,0.6783,1.32374,0.000762903,0.000762903,0.000762903
19,302.244,1.61379,0.69135,1.32944,0.93198,0.90913,0.95026,0.52077,1.67006,0.68612,1.33964,0.00075878,0.00075878,0.00075878
20,319.605,1.6115,0.68786,1.32144,0.92737,0.94668,0.96561,0.5456,1.6213,0.64026,1.30388,0.000754656,0.000754656,0.000754656
21,336.857,1.60456,0.68127,1.32855,0.92672,0.94948,0.9637,0.54154,1.62569,0.64031,1.31258,0.000750533,0.000750533,0.000750533
22,354.151,1.60164,0.66675,1.3192,0.92919,0.92878,0.95615,0.52685,1.66586,0.65288,1.3267,0.00074641,0.00074641,0.00074641
23,371.397,1.5909,0.66707,1.32138,0.91486,0.92326,0.94932,0.51648,1.68591,0.67563,1.35101,0.000742286,0.000742286,0.000742286
24,388.665,1.59033,0.66082,1.3191,0.90413,0.90967,0.93326,0.47501,1.79146,0.71267,1.41631,0.000738163,0.000738163,0.000738163
25,406.179,1.59153,0.65551,1.31979,0.92929,0.95951,0.96771,0.54551,1.60239,0.62309,1.30993,0.00073404,0.00073404,0.00073404
26,423.4,1.582,0.6485,1.31619,0.91468,0.94113,0.95826,0.54015,1.63066,0.63972,1.32075,0.000729916,0.000729916,0.000729916
27,438.561,1.57885,0.64637,1.31356,0.93151,0.95914,0.96482,0.54128,1.62064,0.61177,1.31433,0.000725793,0.000725793,0.000725793
28,453.428,1.57265,0.64279,1.31523,0.93526,0.93966,0.9606,0.54449,1.61982,0.61665,1.31271,0.00072167,0.00072167,0.00072167
29,468.157,1.57139,0.64154,1.31576,0.93406,0.91571,0.95633,0.52728,1.66148,0.6434,1.34127,0.000717546,0.000717546,0.000717546
30,482.899,1.56742,0.63643,1.3126,0.92501,0.93666,0.95755,0.5394,1.63469,0.62653,1.31308,0.000713423,0.000713423,0.000713423
31,497.798,1.56143,0.62969,1.30204,0.94244,0.92984,0.96308,0.53729,1.65366,0.61385,1.32271,0.000709299,0.000709299,0.000709299
32,512.635,1.5547,0.62881,1.30809,0.93075,0.94893,0.96261,0.54507,1.61046,0.59861,1.30505,0.000705176,0.000705176,0.000705176
33,527.457,1.55199,0.61964,1.30697,0.93421,0.9501,0.96215,0.54604,1.61939,0.60275,1.31102,0.000701053,0.000701053,0.000701053
34,542.313,1.54693,0.61631,1.30168,0.9163,0.9466,0.95586,0.53884,1.62549,0.61042,1.319,0.000696929,0.000696929,0.000696929
35,557.059,1.54463,0.61454,1.3008,0.93969,0.95734,0.97109,0.5572,1.60723,0.59189,1.30764,0.000692806,0.000692806,0.000692806
36,571.907,1.54234,0.61083,1.30618,0.93253,0.94527,0.96215,0.54523,1.62152,0.6014,1.31926,0.000688683,0.000688683,0.000688683
37,586.747,1.5352,0.60635,1.30033,0.9364,0.95653,0.965,0.55524,1.59957,0.59536,1.30218,0.000684559,0.000684559,0.000684559
38,601.936,1.53622,0.60253,1.30103,0.93703,0.95568,0.96955,0.56137,1.59549,0.58429,1.29842,0.000680436,0.000680436,0.000680436
39,616.868,1.5329,0.60611,1.29905,0.94319,0.94805,0.97138,0.55824,1.60425,0.59791,1.31135,0.000676313,0.000676313,0.000676313
40,631.6,1.52752,0.59992,1.29304,0.94275,0.95731,0.9719,0.56172,1.60386,0.57695,1.29493,0.000672189,0.000672189,0.000672189
41,646.445,1.52548,0.59762,1.29183,0.94143,0.95435,0.9711,0.56149,1.59912,0.57553,1.30314,0.000668066,0.000668066,0.000668066
42,661.283,1.51879,0.59445,1.2887,0.94334,0.95914,0.97401,0.56245,1.59573,0.58589,1.30205,0.000663943,0.000663943,0.000663943
43,676.175,1.51937,0.59283,1.28743,0.9359,0.9364,0.96165,0.54282,1.63491,0.59876,1.32454,0.000659819,0.000659819,0.000659819
44,691.14,1.5102,0.58784,1.28627,0.94083,0.95693,0.96813,0.55491,1.60383,0.5742,1.30529,0.000655696,0.000655696,0.000655696
