epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6289,1.93502,3.30581,1.5611,0.52313,0.65444,0.60086,0.28528,1.77033,3.10078,1.29451,0.000272327,0.000272327,0.000272327
2,31.7348,1.88693,1.44748,1.46505,0.87774,0.68161,0.86645,0.40736,1.80359,1.75524,1.38309,0.000544549,0.000544549,0.000544549
3,47.7999,1.81425,1.21558,1.43694,0.84277,0.72156,0.84629,0.39223,1.87787,1.32161,1.45625,0.000811273,0.000811273,0.000811273
4,66.623,1.79501,1.1462,1.41901,0.84607,0.80686,0.86572,0.41374,1.81879,1.15779,1.44534,0.00080826,0.00080826,0.00080826
5,82.7793,1.76233,1.0742,1.40001,0.83456,0.81096,0.86949,0.3915,1.89454,1.13771,1.43286,0.000800013,0.000800013,0.000800013
6,98.5216,1.73602,1.02696,1.39173,0.86906,0.85501,0.91109,0.45341,1.78814,0.97021,1.4043,0.000791767,0.000791767,0.000791767
7,115.223,1.72928,0.98156,1.37209,0.82735,0.88612,0.90168,0.42741,1.83724,0.91314,1.39477,0.00078352,0.00078352,0.00078352
8,131.763,1.70472,0.93992,1.36226,0.89496,0.90982,0.94455,0.47158,1.80639,0.855,1.37322,0.000775273,0.000775273,0.000775273
9,148.41,1.69418,0.90173,1.35518,0.88858,0.9124,0.93182,0.47653,1.74227,0.84555,1.36099,0.000767026,0.000767026,0.000767026
10,164.64,1.68459,0.87482,1.34624,0.89749,0.89686,0.94622,0.48127,1.72625,0.82648,1.34999,0.00075878,0.00075878,0.00075878
11,181.334,1.66519,0.84429,1.338,0.90553,0.92134,0.95095,0.49758,1.70668,0.78765,1.34334,0.000750533,0.000750533,0.000750533
12,198.341,1.6584,0.82099,1.33085,0.90885,0.93405,0.9542,0.49462,1.74257,0.77221,1.34689,0.000742286,0.000742286,0.000742286
13,214.832,1.65422,0.80889,1.32928,0.92525,0.93395,0.9575,0.51463,1.68576,0.75313,1.32532,0.00073404,0.00073404,0.00073404
14,231.591,1.63841,0.78741,1.32792,0.917,0.91755,0.95757,0.51287,1.71842,0.74646,1.33665,0.000725793,0.000725793,0.000725793
15,247.323,1.63545,0.77516,1.31911,0.90186,0.93294,0.95171,0.5007,1.74445,0.74842,1.34929,0.000717546,0.000717546,0.000717546
16,263.017,1.62348,0.7573,1.3116,0.90966,0.93057,0.95394,0.50832,1.72821,0.72991,1.34437,0.000709299,0.000709299,0.000709299
17,278.746,1.62471,0.74353,1.31236,0.89942,0.93048,0.94242,0.48826,1.76069,0.75993,1.37425,0.000701053,0.000701053,0.000701053
18,294.404,1.61961,0.73978,1.3125,0.92399,0.93949,0.95976,0.50775,1.71261,0.73102,1.3346,0.000692806,0.000692806,0.000692806
19,310.069,1.61002,0.72893,1.30878,0.93013,0.93527,0.95578,0.51475,1.72495,0.70372,1.34265,0.000684559,0.000684559,0.000684559
20,325.915,1.59938,0.71232,1.29957,0.9241,0.92965,0.96107,0.5208,1.6856,0.72176,1.31962,0.000676313,0.000676313,0.000676313
21,341.275,1.58974,0.70769,1.29494,0.92526,0.9449,0.96167,0.51567,1.67672,0.67743,1.30899,0.000668066,0.000668066,0.000668066
22,356.662,1.58707,0.70337,1.29674,0.93447,0.94241,0.9682,0.53175,1.65815,0.68396,1.30123,0.000659819,0.000659819,0.000659819
23,372.314,1.58415,0.69325,1.30095,0.94,0.94585,0.96872,0.52743,1.66609,0.67449,1.30938,0.000651573,0.000651573,0.000651573
24,387.778,1.58796,0.69131,1.29654,0.92443,0.93594,0.96278,0.52185,1.68593,0.69401,1.31446,0.000643326,0.000643326,0.000643326
25,403.423,1.57753,0.68166,1.29292,0.92953,0.95331,0.96875,0.53839,1.66842,0.66815,1.29959,0.000635079,0.000635079,0.000635079
26,419.056,1.56264,0.66935,1.28753,0.93462,0.95742,0.97248,0.5498,1.6343,0.6443,1.30441,0.000626832,0.000626832,0.000626832
27,434.677,1.56319,0.66653,1.28487,0.9411,0.9414,0.96859,0.5214,1.71007,0.66459,1.33196,0.000618586,0.000618586,0.000618586
28,450.424,1.55733,0.6589,1.28207,0.93533,0.95214,0.96703,0.54237,1.65556,0.63522,1.30473,0.000610339,0.000610339,0.000610339
29,465.953,1.5561,0.6571,1.27734,0.94007,0.94221,0.96706,0.53492,1.6689,0.64232,1.30363,0.000602092,0.000602092,0.000602092
30,481.567,1.54539,0.64837,1.27095,0.93128,0.95892,0.97177,0.54819,1.64594,0.63861,1.29985,0.000593846,0.000593846,0.000593846
31,497.14,1.54326,0.64255,1.27359,0.94834,0.91859,0.96497,0.53617,1.69088,0.678,1.32393,0.000585599,0.000585599,0.000585599
