epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.27054,2.00643,3.84383,1.67625,0.02908,0.66157,0.24389,0.13147,1.7608,3.72683,1.32463,0.00019994,0.00019994,0.00019994
2,11.635,1.93006,2.26318,1.50802,0.99088,0.11017,0.70034,0.31769,1.86099,3.19744,1.41325,0.000405553,0.000405553,0.000405553
3,16.7941,1.88094,1.43231,1.46697,0.94577,0.44496,0.86213,0.42166,1.83384,2.37596,1.34937,0.00060911,0.00060911,0.00060911
4,21.9856,1.82751,1.25012,1.42714,0.86846,0.69712,0.87839,0.41888,1.87895,1.80229,1.38719,0.00075758,0.00075758,0.00075758
5,27.1721,1.79201,1.16889,1.41778,0.85577,0.8074,0.87445,0.42335,1.90974,1.48141,1.44943,0.000753774,0.000753774,0.000753774
6,32.2902,1.74283,1.09716,1.37538,0.86623,0.85087,0.89193,0.44859,1.85855,1.12638,1.43886,0.000749967,0.000749967,0.000749967
7,37.3154,1.71939,1.06158,1.37386,0.88296,0.89572,0.92075,0.47858,1.82107,0.95295,1.41012,0.000746161,0.000746161,0.000746161
8,42.5761,1.68988,1.01987,1.34821,0.89525,0.89097,0.92442,0.46074,1.84387,0.99124,1.44634,0.000742354,0.000742354,0.000742354
9,47.5865,1.68314,0.99577,1.34501,0.87007,0.84798,0.91408,0.45828,1.88718,1.04013,1.43902,0.000738548,0.000738548,0.000738548
10,52.6961,1.6633,0.96508,1.33846,0.89199,0.88674,0.93315,0.49354,1.79912,0.9242,1.40067,0.000734741,0.000734741,0.000734741
11,57.7167,1.63843,0.94058,1.31385,0.92097,0.90167,0.9449,0.50878,1.74224,0.88735,1.36831,0.000730935,0.000730935,0.000730935
12,62.7864,1.63255,0.91867,1.31578,0.90663,0.88237,0.92207,0.47384,1.82986,0.89789,1.42761,0.000727128,0.000727128,0.000727128
13,67.7958,1.61831,0.90517,1.30498,0.90244,0.8994,0.93554,0.50796,1.75081,0.84949,1.36635,0.000723321,0.000723321,0.000723321
14,72.799,1.61873,0.88954,1.30583,0.93129,0.90426,0.94824,0.51228,1.74365,0.82989,1.36058,0.000719515,0.000719515,0.000719515
15,78.0794,1.60818,0.86982,1.3,0.93074,0.91455,0.94836,0.51891,1.71165,0.8179,1.32693,0.000715708,0.000715708,0.000715708
16,83.4268,1.59131,0.854,1.29277,0.90711,0.93654,0.95118,0.5181,1.73968,0.8028,1.38046,0.000711902,0.000711902,0.000711902
17,88.4586,1.58407,0.84064,1.2848,0.92532,0.92326,0.94636,0.52846,1.70222,0.80305,1.33429,0.000708095,0.000708095,0.000708095
18,93.8637,1.57389,0.82262,1.28474,0.8993,0.91688,0.93972,0.5085,1.76422,0.84349,1.3625,0.000704289,0.000704289,0.000704289
19,99.1484,1.57301,0.8175,1.28592,0.92433,0.91973,0.94405,0.50716,1.79288,0.82289,1.38391,0.000700482,0.000700482,0.000700482
20,104.325,1.55462,0.79652,1.27677,0.92335,0.92088,0.95166,0.51394,1.72037,0.81309,1.36751,0.000696676,0.000696676,0.000696676
21,109.423,1.5578,0.794,1.27596,0.92217,0.91742,0.95273,0.53216,1.70408,0.79389,1.3536,0.000692869,0.000692869,0.000692869
22,114.481,1.5513,0.78325,1.27478,0.93114,0.91759,0.94394,0.53234,1.71065,0.77379,1.33281,0.000689062,0.000689062,0.000689062
