epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2648,2.04286,3.59272,1.66308,0.04785,0.7705,0.36185,0.16496,1.79877,3.57847,1.36127,0.000249925,0.000249925,0.000249925
2,18.1819,2.00429,1.68041,1.54056,0.93799,0.39849,0.82181,0.36814,1.91806,2.41016,1.40453,0.000503752,0.000503752,0.000503752
3,25.6056,1.90805,1.31006,1.4827,0.87023,0.80644,0.86708,0.4029,1.9218,1.53291,1.44663,0.000755042,0.000755042,0.000755042
4,32.9889,1.87013,1.18773,1.45678,0.8298,0.81458,0.85306,0.38539,1.96721,1.26891,1.48497,0.00075758,0.00075758,0.00075758
5,40.5784,1.81413,1.13206,1.43166,0.86024,0.86771,0.88262,0.42538,1.88552,0.99316,1.45137,0.000753774,0.000753774,0.000753774
6,48.2164,1.79102,1.08057,1.42109,0.88269,0.87064,0.90546,0.44402,1.83751,0.98821,1.43357,0.000749967,0.000749967,0.000749967
7,55.8595,1.78394,1.03584,1.41259,0.87558,0.88805,0.90882,0.43893,1.88656,0.96348,1.44767,0.000746161,0.000746161,0.000746161
8,63.6374,1.75622,1.00663,1.39135,0.90731,0.87096,0.92029,0.45679,1.82719,0.9568,1.43149,0.000742354,0.000742354,0.000742354
9,71.42,1.74515,0.9843,1.38806,0.90034,0.8749,0.92142,0.45814,1.82083,0.96711,1.42301,0.000738548,0.000738548,0.000738548
10,79.0783,1.73752,0.95869,1.38375,0.91757,0.91276,0.93436,0.48082,1.77115,0.84525,1.3807,0.000734741,0.000734741,0.000734741
11,86.828,1.71425,0.92623,1.3694,0.91209,0.90708,0.93259,0.47414,1.78954,0.83059,1.40346,0.000730935,0.000730935,0.000730935
12,94.2636,1.70596,0.90696,1.36621,0.88332,0.90233,0.92893,0.47333,1.79564,0.87482,1.40621,0.000727128,0.000727128,0.000727128
13,101.936,1.68667,0.88373,1.36642,0.90888,0.89671,0.92966,0.4778,1.7605,0.84493,1.38813,0.000723321,0.000723321,0.000723321
14,109.705,1.67778,0.86972,1.35568,0.92025,0.91128,0.94137,0.4962,1.73134,0.82173,1.38519,0.000719515,0.000719515,0.000719515
15,117.578,1.67402,0.85188,1.34813,0.91884,0.89913,0.94039,0.48688,1.74194,0.80603,1.37293,0.000715708,0.000715708,0.000715708
16,125.301,1.66797,0.84897,1.35275,0.91309,0.89292,0.93048,0.48143,1.76337,0.80028,1.37031,0.000711902,0.000711902,0.000711902
17,132.962,1.64568,0.81315,1.34496,0.91548,0.92048,0.9461,0.50779,1.71495,0.75987,1.36153,0.000708095,0.000708095,0.000708095
18,140.638,1.64319,0.80653,1.33767,0.92125,0.91347,0.94229,0.5064,1.70787,0.74119,1.3338,0.000704289,0.000704289,0.000704289
19,148.388,1.62746,0.79603,1.32402,0.90367,0.90294,0.93264,0.49934,1.72911,0.80352,1.37431,0.000700482,0.000700482,0.000700482
20,156.167,1.62605,0.79088,1.3232,0.92166,0.91944,0.94967,0.50592,1.70942,0.75531,1.35583,0.000696676,0.000696676,0.000696676
21,163.906,1.61455,0.76963,1.31873,0.92302,0.92332,0.94536,0.51457,1.70894,0.75058,1.34858,0.000692869,0.000692869,0.000692869
22,171.608,1.6172,0.77306,1.3276,0.91628,0.91516,0.94303,0.50983,1.71081,0.74774,1.35158,0.000689062,0.000689062,0.000689062
23,179.336,1.60312,0.75634,1.3109,0.92545,0.92881,0.95028,0.51349,1.70123,0.73878,1.34495,0.000685256,0.000685256,0.000685256
24,186.982,1.603,0.75301,1.32199,0.92003,0.93001,0.95303,0.51658,1.72548,0.69914,1.3506,0.000681449,0.000681449,0.000681449
25,194.425,1.58898,0.74027,1.31172,0.91785,0.92115,0.95174,0.51864,1.70294,0.71999,1.33386,0.000677643,0.000677643,0.000677643
26,201.766,1.58834,0.73192,1.30433,0.92276,0.94019,0.94625,0.51365,1.67597,0.71613,1.33942,0.000673836,0.000673836,0.000673836
27,209.2,1.58066,0.73422,1.30131,0.93046,0.92426,0.95234,0.52124,1.69556,0.70834,1.32968,0.00067003,0.00067003,0.00067003
28,216.587,1.57196,0.71776,1.30407,0.92761,0.92346,0.94948,0.51296,1.7047,0.73724,1.35825,0.000666223,0.000666223,0.000666223
29,224.465,1.57339,0.72002,1.30201,0.91945,0.93329,0.95178,0.5272,1.66189,0.70435,1.33859,0.000662417,0.000662417,0.000662417
