epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.331,3.80228,3.87708,3.54242,0.54135,0.16454,0.12315,0.04691,3.18755,2.9594,3.0977,0.000254613,0.000254613,0.000254613
2,62.5483,1.9551,1.66511,2.08748,0.7962,0.8285,0.85229,0.52665,1.48492,1.05137,1.83618,0.000505888,0.000505888,0.000505888
3,91.3282,1.40211,1.07738,1.59224,0.87653,0.88915,0.91969,0.67823,1.05185,0.79929,1.42668,0.000752088,0.000752088,0.000752088
4,120.859,1.17384,0.89182,1.38385,0.88756,0.90549,0.93527,0.73022,0.90634,0.69841,1.25571,0.000746161,0.000746161,0.000746161
5,150.781,1.05577,0.79555,1.28057,0.88042,0.93561,0.94514,0.7602,0.8253,0.64561,1.16606,0.000738548,0.000738548,0.000738548
6,179.32,0.97807,0.74128,1.20647,0.89587,0.93548,0.95506,0.77979,0.76967,0.59445,1.11973,0.000730935,0.000730935,0.000730935
7,207.146,0.91695,0.69021,1.16497,0.89059,0.94749,0.95902,0.79967,0.72782,0.57171,1.07752,0.000723321,0.000723321,0.000723321
8,234.933,0.88609,0.65843,1.13333,0.91047,0.93531,0.95922,0.7899,0.75238,0.53673,1.07603,0.000715708,0.000715708,0.000715708
9,262.67,0.85455,0.62786,1.10129,0.91194,0.94295,0.96315,0.81615,0.6609,0.5207,1.02227,0.000708095,0.000708095,0.000708095
10,290.353,0.82792,0.60957,1.08971,0.90682,0.94511,0.96193,0.82085,0.65414,0.51438,1.01234,0.000700482,0.000700482,0.000700482
11,318.007,0.80815,0.59188,1.07589,0.91578,0.94048,0.9658,0.82318,0.66314,0.49379,1.01282,0.000692869,0.000692869,0.000692869
